128 0 0 0.0 0.0 82.22 0.0501606 0.0207529  {'frags': 0, 'damage': 0} 
15232 52 52 -0.5674096575573186 -0.5674096575573186 84.95 0.0031978 0.0173079  {'frags': 0, 'damage': 1} 
15360 52 52 -0.5674096575573186 -0.5674096575573186 83.66 0.0081468 0.0183688  {'frags': 0, 'damage': 1} 
15488 53 53 -0.553818690934898 -0.553818690934898 85.13 -0.0008497 0.01895  {'frags': 0, 'damage': 1} 
15616 53 53 -0.553818690934898 -0.553818690934898 85.53 0.011914 0.0186423  {'frags': 0, 'damage': 1} 
15744 54 54 -0.5256868176350897 -0.5256868176350897 84.07 0.0078436 0.0197877  {'frags': 0, 'damage': 1} 
15872 54 54 -0.5256868176350897 -0.5256868176350897 85.16 0.000147 0.0183581  {'frags': 0, 'damage': 1} 
16000 55 55 -0.5067181402614629 -0.5067181402614629 85.51 0.0060726 0.017929  {'frags': 0, 'damage': 1} 
16128 55 55 -0.5067181402614629 -0.5067181402614629 84.81 -0.0045649 0.0171268  {'frags': 0, 'damage': 2} 
16256 56 56 -0.4656463157482519 -0.4656463157482519 85.29 0.0033857 0.0198021  {'frags': 0, 'damage': 1} 
16384 56 56 -0.4656463157482519 -0.4656463157482519 84.72 0.0043901 0.0198007  {'frags': 0, 'damage': 1} 
16512 57 57 -0.4313816823129236 -0.4313816823129236 85.78 0.0099355 0.0189682  {'frags': 0, 'damage': 1} 
16640 58 58 -0.4115435098565001 -0.4115435098565001 86.59 0.0039619 0.0210072  {'frags': 0, 'damage': 1} 
16768 58 58 -0.4115435098565001 -0.4115435098565001 83.83 0.0021905 0.0205316  {'frags': 0, 'damage': 1} 
16896 59 59 -0.395089160172094 -0.395089160172094 84.98 0.0099553 0.0170385  {'frags': 0, 'damage': 1} 
17024 59 59 -0.395089160172094 -0.395089160172094 85.72 0.0108399 0.0224892  {'frags': 0, 'damage': 1} 
17152 60 60 -0.3680302389662071 -0.3680302389662071 84.94 0.0109371 0.0175436  {'frags': 0, 'damage': 1} 
17280 60 60 -0.3680302389662071 -0.3680302389662071 85.32 0.0214868 0.0216539  {'frags': 0, 'damage': 1} 
17408 61 61 -0.3526272147705387 -0.3526272147705387 85.81 0.0170616 0.0199779  {'frags': 0, 'damage': 1} 
17536 61 61 -0.3526272147705387 -0.3526272147705387 84.51 0.0171884 0.0177071  {'frags': 0, 'damage': 1} 
17664 61 61 -0.3526272147705387 -0.3526272147705387 85.57 0.0277666 0.0232598  {'frags': 0, 'damage': 1} 
17792 62 62 -0.332814488887584 -0.332814488887584 83.08 0.0193234 0.0206669  {'frags': 0, 'damage': 1} 
17920 63 63 -0.32208303866591675 -0.32208303866591675 85.93 0.0285497 0.023029  {'frags': 0, 'damage': 1} 
18048 63 63 -0.32208303866591675 -0.32208303866591675 85.95 0.0198152 0.0190781  {'frags': 0, 'damage': 1} 
18176 64 64 -0.305424727685697 -0.305424727685697 85.15 0.015933 0.0199294  {'frags': 0, 'damage': 1} 
18304 64 64 -0.305424727685697 -0.305424727685697 83.42 0.0014744 0.0187026  {'frags': 0, 'damage': 1} 
18432 65 65 -0.282732250394718 -0.282732250394718 85.3 0.0111173 0.0199303  {'frags': 0, 'damage': 1} 
18560 65 65 -0.282732250394718 -0.282732250394718 84.57 0.0045696 0.0201472  {'frags': 0, 'damage': 1} 
18688 66 66 -0.2667590284423943 -0.2667590284423943 84.98 0.0070124 0.0207812  {'frags': 0, 'damage': 1} 
18816 66 66 -0.2667590284423943 -0.2667590284423943 86.1 0.0044246 0.0182557  {'frags': 0, 'damage': 1} 
18944 66 66 -0.2667590284423943 -0.2667590284423943 82.84 0.0044766 0.0212505  {'frags': 0, 'damage': 1} 
19072 67 67 -0.23313312447060264 -0.23313312447060264 85.69 -0.0004368 0.0193659  {'frags': 0, 'damage': 1} 
19200 67 67 -0.23313312447060264 -0.23313312447060264 84.36 -0.0089528 0.0212057  {'frags': 0, 'damage': 1} 
19328 67 67 -0.23313312447060264 -0.23313312447060264 83.41 -0.0038981 0.0196041  {'frags': 0, 'damage': 2} 
19456 68 68 -0.2038198176058899 -0.2038198176058899 84.41 0.003323 0.0186176  {'frags': 0, 'damage': 1} 
19584 68 68 -0.2038198176058899 -0.2038198176058899 83.71 -0.0095832 0.0196048  {'frags': 0, 'damage': 1} 
19712 68 68 -0.2038198176058899 -0.2038198176058899 82.98 0.0025022 0.0202899  {'frags': 0, 'damage': 1} 
19840 69 69 -0.16933782866797037 -0.16933782866797037 85.46 -0.0056225 0.0207524  {'frags': 0, 'damage': 1} 
19968 70 70 -0.16065404201953803 -0.16065404201953803 85.73 -0.0011579 0.0222212  {'frags': 0, 'damage': 1} 
20096 71 71 -0.15768863962723714 -0.15768863962723714 85.04 0.0034603 0.0190629  {'frags': 0, 'damage': 1} 
20224 71 71 -0.15768863962723714 -0.15768863962723714 84.94 -0.0005324 0.0187592  {'frags': 0, 'damage': 1} 
20352 72 72 -0.1386697702423534 -0.1386697702423534 84.36 -0.0121587 0.017962  {'frags': 0, 'damage': 1} 
20480 73 73 -0.11245279135677677 -0.11245279135677677 83.91 0.0002873 0.0184937  {'frags': 0, 'damage': 1} 
20608 73 73 -0.11245279135677677 -0.11245279135677677 85.12 -0.0013592 0.0194835  {'frags': 0, 'damage': 1} 
20736 74 74 -0.09135750645053128 -0.09135750645053128 84.82 -0.0074224 0.023184  {'frags': 0, 'damage': 2} 
20864 74 74 -0.09135750645053128 -0.09135750645053128 85.54 0.0012765 0.022653  {'frags': 0, 'damage': 2} 
20992 75 75 -0.06722175378916478 -0.06722175378916478 85.48 -0.0001788 0.0225649  {'frags': 0, 'damage': 1} 
21120 75 75 -0.06722175378916478 -0.06722175378916478 84.95 -0.0050563 0.0218343  {'frags': 0, 'damage': 2} 
21248 75 75 -0.06722175378916478 -0.06722175378916478 85.3 -0.0049999 0.0208452  {'frags': 0, 'damage': 3} 
21376 76 76 0.042500419811391243 0.042500419811391243 84.89 -0.0039599 0.0221045  {'frags': 0, 'damage': 1} 
21504 76 76 0.042500419811391243 0.042500419811391243 85.52 0.0035927 0.0215307  {'frags': 0, 'damage': 1} 
21632 76 76 0.042500419811391243 0.042500419811391243 84.56 -0.0069893 0.0219339  {'frags': 0, 'damage': 2} 
21760 76 76 0.042500419811391243 0.042500419811391243 83.35 -0.0027247 0.0214308  {'frags': 0, 'damage': 2} 
21888 76 76 0.042500419811391243 0.042500419811391243 85.4 0.0010236 0.0228522  {'frags': 0, 'damage': 2} 
22016 77 77 0.20590038515873635 0.20590038515873635 85.11 -0.001566 0.0277135  {'frags': 0, 'damage': 1} 
22144 77 77 0.20590038515873635 0.20590038515873635 85.14 -0.0014682 0.0240077  {'frags': 0, 'damage': 1} 
22272 78 78 0.3516103523065147 0.3516103523065147 82.26 -0.0037766 0.0229785  {'frags': 0, 'damage': 1} 
22400 78 78 0.3516103523065147 0.3516103523065147 84.66 -0.0076593 0.0195919  {'frags': 0, 'damage': 1} 
22528 79 79 0.47189932113568467 0.47189932113568467 85.71 0.0042554 0.0271369  {'frags': 0, 'damage': 1} 
22656 79 79 0.47189932113568467 0.47189932113568467 84.22 -0.0018763 0.0222009  {'frags': 0, 'damage': 1} 
22784 80 80 0.5996593809696218 0.5996593809696218 84.91 0.0099937 0.0248256  {'frags': 0, 'damage': 1} 
22912 80 80 0.5996593809696218 0.5996593809696218 83.03 0.0020442 0.0262346  {'frags': 0, 'damage': 4} 
23040 81 81 0.7802434596241725 0.7802434596241725 83.63 0.0011232 0.0243811  {'frags': 0, 'damage': 1} 
23168 81 81 0.7802434596241725 0.7802434596241725 82.33 -0.0042586 0.0242889  {'frags': 0, 'damage': 1} 
23296 82 82 0.9456691274077971 0.9456691274077971 83.06 0.0010016 0.0257406  {'frags': 0, 'damage': 1} 
23424 83 83 1.0970022245072786 1.0970022245072786 83.33 -0.0007003 0.0251502  {'frags': 0, 'damage': 1} 
23552 83 83 1.0970022245072786 1.0970022245072786 84.41 0.0058142 0.0257869  {'frags': 0, 'damage': 1} 
23680 83 83 1.0970022245072786 1.0970022245072786 84.92 0.0085585 0.0278369  {'frags': 0, 'damage': 1} 
23808 83 83 1.0970022245072786 1.0970022245072786 86.54 -0.0041905 0.0304336  {'frags': 0, 'damage': 3} 
23936 84 84 1.313252010116868 1.313252010116868 84.45 0.0065866 0.0232286  {'frags': 0, 'damage': 1} 
24064 84 84 1.313252010116868 1.313252010116868 85.09 0.0037346 0.0309381  {'frags': 0, 'damage': 1} 
24192 84 84 1.313252010116868 1.313252010116868 84.66 -0.009519 0.0286705  {'frags': 0, 'damage': 1} 
24320 85 85 1.515776821836454 1.515776821836454 84.76 -0.000295 0.0253523  {'frags': 0, 'damage': 1} 
