17664 36 36 0.0 0.0 167.18 8.55e-05 0.0245017 0.0010013 -0.0018042  {'room_id': 0, 'visited_rooms': 1} 
17792 37 37 0.0 0.0 168.14 8.12e-05 0.0233287 -0.0002902 -0.0225704  {'room_id': 0, 'visited_rooms': 1} 
17920 37 37 0.0 0.0 167.38 7.91e-05 0.0235261 0.0052731 -0.0115952  {'room_id': 0, 'visited_rooms': 1} 
18048 37 37 0.0 0.0 167.37 8.07e-05 0.0244883 0.0013427 0.0179208  {'room_id': 0, 'visited_rooms': 1} 
18176 37 37 0.0 0.0 167.57 0.0001632 0.0349796 0.0031842 0.09998  {'room_id': 0, 'visited_rooms': 1} 
18304 37 37 0.0 0.0 167.65 0.0001313 0.0326013 -0.0016854 0.108694  {'room_id': 0, 'visited_rooms': 1} 
18432 37 37 0.0 0.0 167.44 0.0001587 0.0385359 0.0044708 0.1627763  {'room_id': 0, 'visited_rooms': 1} 
18560 38 38 0.0 0.0 167.58 0.0001235 0.035806 0.0005493 0.0566085  {'room_id': 0, 'visited_rooms': 1} 
18688 38 38 0.0 0.0 167.36 0.0001275 0.038157 -0.0031132 0.0573749  {'room_id': 0, 'visited_rooms': 1} 
18816 38 38 0.0 0.0 167.7 0.0001175 0.0323464 0.0017535 -0.0105771  {'room_id': 0, 'visited_rooms': 1} 
18944 38 38 0.0 0.0 167.21 0.0001092 0.0331129 0.0008696 0.0418087  {'room_id': 0, 'visited_rooms': 1} 
19072 38 38 0.0 0.0 167.21 0.0001073 0.0305383 -0.0010678 -0.0128571  {'room_id': 0, 'visited_rooms': 1} 
19200 38 38 0.0 0.0 167.77 8.79e-05 0.0257431 -0.0043607 -0.0578169  {'room_id': 0, 'visited_rooms': 1} 
19328 39 39 0.0 0.0 167.15 9.46e-05 0.0280091 -0.0042744 0.0016402  {'room_id': 0, 'visited_rooms': 1} 
19456 39 39 0.0 0.0 167.82 9.59e-05 0.0260658 0.001812 0.0400444  {'room_id': 0, 'visited_rooms': 1} 
19584 39 39 0.0 0.0 167.6 8.79e-05 0.0262867 -0.0004348 -0.0251456  {'room_id': 0, 'visited_rooms': 1} 
19712 39 39 0.0 0.0 168.05 7.4e-05 0.0217623 -0.0015802 -0.0366221  {'room_id': 0, 'visited_rooms': 1} 
19840 40 40 0.0 0.0 166.63 8.09e-05 0.0231704 -0.0006837 -0.0035356  {'room_id': 0, 'visited_rooms': 1} 
19968 40 40 0.0 0.0 166.96 7.7e-05 0.0225385 -0.0006089 -0.0026188  {'room_id': 0, 'visited_rooms': 1} 
20096 40 40 0.0 0.0 166.59 7.61e-05 0.0225935 -0.0018137 0.0089784  {'room_id': 0, 'visited_rooms': 1} 
20224 40 40 0.0 0.0 167.11 7.84e-05 0.0229713 -0.0003299 0.0306309  {'room_id': 0, 'visited_rooms': 1} 
20352 40 40 0.0 0.0 167.52 8.85e-05 0.0237178 -0.0001127 0.008981  {'room_id': 0, 'visited_rooms': 1} 
20480 41 41 0.0 0.0 166.55 7.47e-05 0.0217909 -0.0011267 0.0294132  {'room_id': 0, 'visited_rooms': 1} 
20608 41 41 0.0 0.0 166.82 7.78e-05 0.021642 0.0014213 0.0189437  {'room_id': 0, 'visited_rooms': 1} 
20736 41 41 0.0 0.0 167.67 8.23e-05 0.0239628 0.0048306 0.0391806  {'room_id': 0, 'visited_rooms': 1} 
20864 42 42 0.0 0.0 166.89 0.0001109 0.0301712 0.0029695 0.108046  {'room_id': 0, 'visited_rooms': 1} 
20992 42 42 0.0 0.0 167.0 9.6e-05 0.0277284 0.00068 0.001264  {'room_id': 0, 'visited_rooms': 1} 
21120 42 42 0.0 0.0 166.99 8.63e-05 0.0273924 0.0022496 0.0500032  {'room_id': 0, 'visited_rooms': 1} 
21248 42 42 0.0 0.0 167.46 9.42e-05 0.0263124 0.0026855 0.0214673  {'room_id': 0, 'visited_rooms': 1} 
21376 42 42 0.0 0.0 166.9 8.42e-05 0.0229225 0.0019571 -0.0267004  {'room_id': 0, 'visited_rooms': 1} 
21504 42 42 0.0 0.0 167.44 7.5e-05 0.0233565 0.0002347 0.0169193  {'room_id': 0, 'visited_rooms': 1} 
21632 43 43 0.0 0.0 166.87 7.82e-05 0.0229495 -0.00056 -0.0145307  {'room_id': 0, 'visited_rooms': 1} 
21760 43 43 0.0 0.0 167.04 8.34e-05 0.0238921 0.0007081 -0.0249051  {'room_id': 0, 'visited_rooms': 1} 
21888 43 43 0.0 0.0 166.52 6.75e-05 0.0207539 0.0025542 -0.0043599  {'room_id': 0, 'visited_rooms': 1} 
22016 44 44 0.0 0.0 167.16 6.35e-05 0.0184072 0.0025072 -0.0089178  {'room_id': 0, 'visited_rooms': 1} 
22144 44 44 0.0 0.0 167.39 7.48e-05 0.0232832 0.0037691 0.0425051  {'room_id': 0, 'visited_rooms': 1} 
22272 44 44 0.0 0.0 166.97 6.83e-05 0.0206216 0.0003468 -0.0120278  {'room_id': 0, 'visited_rooms': 1} 
22400 44 44 0.0 0.0 166.73 9.23e-05 0.0269313 0.0001818 0.0556974  {'room_id': 0, 'visited_rooms': 1} 
22528 44 44 0.0 0.0 167.5 7.12e-05 0.0205951 0.0009485 -0.0046052  {'room_id': 0, 'visited_rooms': 1} 
22656 45 45 0.0 0.0 167.21 6.31e-05 0.0189513 3.5e-05 -0.0083447  {'room_id': 0, 'visited_rooms': 1} 
22784 45 45 0.0 0.0 166.93 5.95e-05 0.017639 0.0001809 -0.0271695  {'room_id': 0, 'visited_rooms': 1} 
22912 45 45 0.0 0.0 166.22 6.43e-05 0.0187197 0.0020867 -0.0066296  {'room_id': 0, 'visited_rooms': 1} 
23040 46 46 0.0 0.0 167.85 6.52e-05 0.0191604 0.0005353 -0.0056982  {'room_id': 0, 'visited_rooms': 1} 
23168 46 46 0.0 0.0 167.02 6.81e-05 0.0203162 0.00424 0.0187763  {'room_id': 0, 'visited_rooms': 1} 
23296 46 46 0.0 0.0 166.67 8.78e-05 0.0246852 0.0024514 0.0679681  {'room_id': 0, 'visited_rooms': 1} 
23424 46 46 0.0 0.0 167.32 8.45e-05 0.0224946 0.0008278 0.0048091  {'room_id': 0, 'visited_rooms': 1} 
23552 46 46 0.0 0.0 166.81 8.69e-05 0.0239753 -3.1e-06 0.0214108  {'room_id': 0, 'visited_rooms': 1} 
23680 46 46 0.0 0.0 166.55 7.66e-05 0.0241107 -0.000415 0.0127199  {'room_id': 0, 'visited_rooms': 1} 
23808 46 46 0.0 0.0 167.48 6.78e-05 0.0187957 0.0002249 -0.0547391  {'room_id': 0, 'visited_rooms': 1} 
23936 46 46 0.0 0.0 166.38 6.11e-05 0.0180385 6e-06 -0.0366164  {'room_id': 0, 'visited_rooms': 1} 
24064 46 46 0.0 0.0 166.24 6.14e-05 0.0177774 -0.0006722 -0.0247327  {'room_id': 0, 'visited_rooms': 1} 
24192 47 47 10.0 0.1 166.47 5.99e-05 0.0173048 0.0002215 -0.035511  {'room_id': 0, 'visited_rooms': 1} 
24320 47 47 10.0 0.1 166.49 6.14e-05 0.0184775 0.0017671 -0.0136342  {'room_id': 0, 'visited_rooms': 1} 
24448 47 47 10.0 0.1 166.67 6.17e-05 0.0176356 0.0002792 -0.0169888  {'room_id': 0, 'visited_rooms': 1} 
24576 47 47 10.0 0.1 166.67 6.11e-05 0.0179949 0.0030739 -0.00565  {'room_id': 0, 'visited_rooms': 1} 
24704 47 47 10.0 0.1 165.68 6.34e-05 0.0178965 0.0007405 0.0044201  {'room_id': 0, 'visited_rooms': 1} 
24832 47 47 10.0 0.1 166.81 6.79e-05 0.0252309 0.0040865 0.0962172  {'room_id': 0, 'visited_rooms': 1} 
24960 47 47 10.0 0.1 167.28 7.94e-05 0.020455 0.0042339 0.0442347  {'room_id': 0, 'visited_rooms': 1} 
25088 47 47 10.0 0.1 166.56 7.62e-05 0.0232819 0.0005881 0.0469783  {'room_id': 0, 'visited_rooms': 1} 
25216 48 48 19.0 0.19 166.98 6.51e-05 0.0188494 7.99e-05 0.0174168  {'room_id': 0, 'visited_rooms': 1} 
25344 48 48 19.0 0.19 165.92 6.04e-05 0.0183453 0.000238 0.0168913  {'room_id': 0, 'visited_rooms': 1} 
25472 48 48 19.0 0.19 166.73 6.72e-05 0.0177851 0.0017909 0.0003019  {'room_id': 0, 'visited_rooms': 1} 
25600 48 48 19.0 0.19 167.1 6.15e-05 0.0186809 0.0031968 0.0229833  {'room_id': 0, 'visited_rooms': 1} 
25728 48 48 19.0 0.19 166.4 7.69e-05 0.0214081 0.0022319 0.0339059  {'room_id': 0, 'visited_rooms': 1} 
25856 48 48 19.0 0.19 167.16 8.6e-05 0.0248744 0.0037667 0.090974  {'room_id': 0, 'visited_rooms': 1} 
25984 48 48 19.0 0.19 167.22 7.27e-05 0.0198069 0.0021254 -0.000156  {'room_id': 0, 'visited_rooms': 1} 
26112 48 48 19.0 0.19 166.43 8.19e-05 0.0246578 0.0014654 0.0804772  {'room_id': 0, 'visited_rooms': 1} 
26240 48 48 19.0 0.19 167.33 7.3e-05 0.0215768 0.0024344 0.0517258  {'room_id': 0, 'visited_rooms': 1} 
26368 48 48 19.0 0.19 166.34 7.65e-05 0.0208746 0.0025128 0.0323083  {'room_id': 0, 'visited_rooms': 1} 
26496 49 49 17.1 0.171 166.16 6.71e-05 0.0212442 0.0015665 0.0373684  {'room_id': 0, 'visited_rooms': 1} 
26624 49 49 17.1 0.171 167.03 7.58e-05 0.0205322 0.0025737 0.0672215  {'room_id': 0, 'visited_rooms': 1} 
