11776 13 13 120.8659 0.6666590000000001 133.56 0.013722 0.0089787 0.0 0.0 -0.0154126 0.0284555 1.0426605 0.7451592 0.0222248 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 120.8659} 
11904 13 13 120.8659 0.6666590000000001 132.31 0.0143653 0.0091676 0.0 0.0 -0.0151522 0.0287516 1.0481151 0.7420949 0.0219824 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 120.8659} 
12032 13 13 120.8659 0.6666590000000001 132.78 0.0136403 0.0113542 0.0 0.0 -0.0164665 0.0281297 1.0428441 0.7442819 0.0234352 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 120.8659} 
12160 13 13 120.8659 0.6666590000000001 130.25 0.0127087 0.0092441 0.0 0.0 -0.0169906 0.0256419 1.0340658 0.7382886 0.0223825 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 4, 'raw_score': 120.8659} 
12288 13 13 120.8659 0.6666590000000001 130.69 0.0119464 0.0096504 0.0 0.0 -0.0155579 0.0242829 1.0329974 0.7397961 0.0223141 {'accuracy': [0.0]} {'room_id': 0, 'explored_rooms': 5, 'raw_score': 120.8659} 
12416 14 14 148.77931 0.7999931000000002 134.21 0.0129499 0.0100268 0.0 0.0 -0.017463 0.022516 1.0227847 0.7310629 0.0217691 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
12544 14 14 148.77931 0.7999931000000002 136.92 0.01466 0.0106015 0.0 0.0 -0.0168392 0.023858 1.0176823 0.7287478 0.0222502 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
12672 14 14 148.77931 0.7999931000000002 135.43 0.0123154 0.0096142 0.0 0.0 -0.0162972 0.0222464 1.0124317 0.7386378 0.0216571 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
12800 14 14 148.77931 0.7999931000000002 133.61 0.012135 0.0089627 0.0 0.0 -0.0162959 0.025495 1.0118104 0.7327739 0.0212965 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
12928 14 14 148.77931 0.7999931000000002 133.83 0.0124345 0.0080157 0.0 0.0 -0.0162776 0.0218283 1.0087482 0.7291649 0.0204645 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
13056 14 14 148.77931 0.7999931000000002 133.03 0.0111176 0.0075562 0.0 0.0 -0.0163267 0.0255316 1.0067469 0.7238363 0.0204922 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
13184 14 14 148.77931 0.7999931000000002 134.27 0.0119128 0.0089357 0.0 0.0 -0.0174117 0.0210006 1.0030595 0.7204287 0.0202024 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
13312 14 14 148.77931 0.7999931000000002 133.39 0.0114013 0.0085688 0.0 0.0 -0.0182571 0.021854 0.9982106 0.7197857 0.0206026 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
13440 14 14 148.77931 0.7999931000000002 140.37 0.0119337 0.0084877 0.0 0.0 -0.0159698 0.0235486 0.9955205 0.7242453 0.0203254 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 148.77931} 
13568 15 15 143.90137900000002 0.8199937900000002 133.51 0.0111229 0.0085103 0.0 0.0 -0.0162888 0.021865 0.9879606 0.7269679 0.0203499 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 143.90137900000002} 
13696 15 15 143.90137900000002 0.8199937900000002 134.66 0.0126043 0.0103132 0.0 0.0 -0.0166292 0.0185406 0.9830459 0.7233518 0.0217983 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 143.90137900000002} 
13824 15 15 143.90137900000002 0.8199937900000002 132.06 0.0108378 0.0072099 0.0 0.0 -0.0164366 0.0190554 0.9836424 0.7214034 0.0193013 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 143.90137900000002} 
13952 15 15 143.90137900000002 0.8199937900000002 131.92 0.0102993 0.0068694 0.0 0.0 -0.016232 0.0176615 0.9733058 0.7177728 0.019015 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 143.90137900000002} 
14080 15 15 143.90137900000002 0.8199937900000002 129.35 0.0109167 0.0065471 0.0 0.0 -0.0157047 0.0193538 0.9754917 0.7272536 0.0181983 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 143.90137900000002} 
14208 16 16 169.51124110000003 0.9379944110000002 132.23 0.0110173 0.0068497 0.0 0.0 -0.0177575 0.0191405 0.9694648 0.7167933 0.0181899 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 169.51124110000003} 
14336 16 16 169.51124110000003 0.9379944110000002 133.0 0.0111853 0.0086147 0.0 0.0 -0.0160202 0.0182553 0.9709706 0.7139385 0.0197275 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 169.51124110000003} 
14464 16 16 169.51124110000003 0.9379944110000002 131.71 0.011786 0.0081723 0.0 0.0 -0.0173408 0.0197796 0.9648859 0.7110717 0.0196225 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 169.51124110000003} 
14592 16 16 169.51124110000003 0.9379944110000002 131.55 0.0118283 0.006954 0.0 0.0 -0.0164878 0.0173424 0.9601294 0.7119939 0.0191176 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 169.51124110000003} 
14720 16 16 169.51124110000003 0.9379944110000002 148.24 0.0116231 0.008092 0.0 0.0 -0.0182166 0.0156978 0.9569449 0.7146195 0.0190596 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 169.51124110000003} 
14848 16 16 169.51124110000003 0.9379944110000002 135.46 0.0129796 0.009213 0.0 0.0 -0.0180675 0.0158807 0.9652401 0.7179589 0.0200382 {'accuracy': [0.0]} {'room_id': 1, 'explored_rooms': 5, 'raw_score': 169.51124110000003} 
