0 0.0 0.0 0.0 0.39 0.0153794 0.0 7.6e-06 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 {} {'explored_rooms_count': 0, 'episodic_explored_rooms_count': 0, 'episodic_explored_area': 0.0} 
7168 11.875 0.0 0.0 9.66 0.0021742 0.0016859 0.0001613 0.0001363 -0.0046647 0.0003638 1.3777324 1.3971324 16.3161201 0.0039611 0.8259784 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00363} 
7296 11.95312 0.0 0.0 11.27 0.0019684 0.0015245 0.0001482 0.0001178 -0.0046064 0.0003348 1.3746765 1.3759896 19.7666268 0.0037629 0.8058844 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00366} 
7424 11.99219 0.0 0.0 8.54 0.0017561 0.001393 0.0001381 0.00011 -0.0055196 0.0002705 1.3785312 1.3729039 23.0922572 0.0035714 0.7820118 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00367} 
7552 12.04688 0.0 0.0 9.88 0.0017803 0.0014664 0.0001341 0.000104 -0.0052202 0.0002561 1.3777757 1.3793337 27.2590941 0.0033053 0.7326928 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00372} 
7680 12.07812 0.0 0.0 10.76 0.0019329 0.001603 0.0001333 9.96e-05 -0.0070603 0.0002015 1.3673694 1.3736569 27.9216583 0.0034428 0.7280775 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00376} 
7808 12.10938 0.0 0.0 11.04 0.0019515 0.0016557 0.000134 0.000101 -0.006046 0.0002332 1.3672208 1.3760837 29.8942194 0.0035587 0.7054903 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00374} 
7936 12.21094 0.0 0.0 12.45 0.0023027 0.0016457 0.0001422 0.0001135 -0.0059401 0.0003464 1.3633234 1.3803591 30.2980359 0.0037441 0.6791756 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00379} 
8064 12.35938 0.0 0.0 9.65 0.0021864 0.0015342 0.0001507 0.0001277 -0.0057377 0.0003405 1.3597731 1.3872886 26.2026819 0.003816 0.7203676 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00378} 
8192 12.51562 0.0 0.0 8.22 0.0022025 0.0016087 0.0001651 0.0001452 -0.0045878 0.0003146 1.3522063 1.4034955 20.8924688 0.0037458 0.7849911 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00379} 
8320 12.63281 0.0 0.0 9.94 0.0022752 0.0016804 0.0001704 0.00015 -0.0029837 0.0002652 1.3538222 1.3934191 17.4013682 0.0038141 0.8206504 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.0039} 
8448 12.69531 0.0 0.0 9.72 0.0022037 0.0015255 0.0001717 0.0001505 -0.0021347 0.0002322 1.3549142 1.3778312 15.0230621 0.0037616 0.8600855 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00393} 
8576 12.76562 0.0 0.0 7.05 0.0019508 0.0013171 0.0001489 0.0001327 -0.0028107 0.0002052 1.3553307 1.3641757 14.1147257 0.0035136 0.8770828 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00389} 
8704 12.83594 0.0 0.0 8.49 0.0018634 0.001455 0.0001428 0.0001247 -0.0033282 0.0001978 1.3411608 1.3501196 14.5965781 0.0034263 0.8727582 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00387} 
8832 12.92969 0.0 0.0 8.44 0.0019497 0.0015785 0.0001397 0.0001204 -0.0026859 0.0001967 1.3364289 1.3387199 13.6559871 0.0034067 0.877619 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00386} 
8960 13.0 0.0 0.0 9.15 0.002024 0.0017172 0.0001385 0.0001206 -0.0037303 0.0001827 1.3322136 1.3323562 13.4501409 0.0034602 0.8781823 {} {'explored_rooms_count': 21, 'episodic_explored_rooms_count': 14, 'episodic_explored_area': 0.00388} 
